runtime,model,prompt_id,score,verdict,red_flags,wall_time_seconds,input_tokens,output_tokens,total_tokens,cost_usd,cost_type,strongest_dimension,weakest_dimension,notes
Upstage API,solar-pro2,P01,75,Promising but incomplete operating system,none,14.961,286,2242,2528,,unavailable,Dynamic Tool Discovery And Routing,Hook Lifecycle And Automation Architecture,"Strong dynamic registry, memory scopes, approval gates, and investment-specific checks; weak on hook failure handling, return contracts, and installable examples."
Upstage API,solar-pro2,P02,77,Promising but incomplete operating system,none,12.004,275,1789,2064,,unavailable,Governance Safety And Human Approval,Hook Lifecycle And Automation Architecture,"Good AML provenance, chain-of-custody, audit, prompt-injection defense, and regulatory handoff; lacks deeper hook lifecycle and loop termination details."
Upstage API,solar-pro2,P03,79,Promising but incomplete operating system,none,13.068,292,1956,2248,,unavailable,Governance Safety And Human Approval,Installability And Artifact Quality,"Best safety alignment: non-weaponized scope, no-fly zones, battery thresholds, abort logic, and operator approval; package remains mostly spec-level."
Upstage API,solar-pro2,P04,71,Promising but incomplete operating system,none,13.253,292,1989,2281,,unavailable,Dynamic Tool Discovery And Routing,Hook Lifecycle And Automation Architecture,"Solid film workflow DAG, artifact context packets, and creative evals; limited hook lifecycle, governance depth, and legal-clearance operational detail."
Upstage API,solar-pro2,P05,72,Promising but incomplete operating system,none,11.804,283,1779,2062,,unavailable,Dynamic Tool Discovery And Routing,Hook Lifecycle And Automation Architecture,"Covers Playwright/browser workflow, brand memory, data connectors, legal review, and retrospectives; no explicit hook lifecycle schema or rollback handling."
Upstage API,solar-pro2,P06,73,Promising but incomplete operating system,none,12.773,290,1912,2202,,unavailable,Context Engineering And Memory,Installability And Artifact Quality,"Good PRD-first flow, dynamic repo/issue/log/cloud tool awareness, and human approval fallback; release governance and migration evidence contracts are thin."
Upstage API,solar-pro2,P07,72,Promising but incomplete operating system,none,12.116,281,1814,2095,,unavailable,Governance Safety And Human Approval,Hook Lifecycle And Automation Architecture,"Strong PHI redaction, audit, stale-data detection, and supervisor gates; workflow state machine is underdeveloped and hooks are mostly structural."
Upstage API,solar-pro2,P08,75,Promising but incomplete operating system,none,12.241,282,1820,2102,,unavailable,Domain-Specific Depth,Governance Safety And Human Approval,"Good supply-chain KPIs, exception workflows, ERP/weather/port/map/spreadsheet discovery, and KPI dashboard; approval and permission model is lighter than other domains."
Upstage API,solar-pro2,P09,78,Promising but incomplete operating system,none,12.725,281,1908,2189,,unavailable,Governance Safety And Human Approval,Observability Cost And Operational Controls,"Strong SOC-specific content: SIEM/EDR routing, evidence graph, MITRE mapping, containment approval, prompt-injection defense; observability and installability are still brief."
Upstage API,solar-pro2,P10,77,Promising but incomplete operating system,none,12.491,289,1937,2226,,unavailable,Dynamic Tool Discovery And Routing,Observability Cost And Operational Controls,"Good universal role synthesis, capability mapping, hooks, sandbox policy, eval generation, and continuous improvement memory; domain examples and cost controls need more depth."
