"runtime","model","mode","prompt_id","domain","score100","verdict","generated_by","wall_time_seconds","red_flags","error"
"codex","gpt-5.5","direct-draft","P01","Investment","90","Production-grade candidate","llm","96.454","",""
"codex","gpt-5.5","direct-draft","P02","AML","90","Production-grade candidate","llm","98.562","",""
"codex","gpt-5.5","direct-draft","P03","Disaster response drones","90","Production-grade candidate","llm","62.839","",""
"codex","gpt-5.5","direct-draft","P04","Film studio","80","Not production-grade","llm","71.207","creative role list without workflow",""
"codex","gpt-5.5","direct-draft","P05","Marketing agency","0","Failed: deterministic fallback","deterministic","180.1","generic campaign plan without tool/data workflow","Agentlas meta-agent returned deterministic fallback instead of an LLM-generated draft."
"codex","gpt-5.5","direct-draft","P06","Enterprise software","0","Failed: deterministic fallback","deterministic","69.656","code generation without governance and test/release gates","Agentlas meta-agent returned deterministic fallback instead of an LLM-generated draft."
"codex","gpt-5.5","direct-draft","P07","Hospital operations","90","Production-grade candidate","llm","56.711","",""
"codex","gpt-5.5","direct-draft","P08","Supply chain","0","Failed: deterministic fallback","deterministic","81.562","","Agentlas meta-agent returned deterministic fallback instead of an LLM-generated draft."
"codex","gpt-5.5","direct-draft","P09","SOC","90","Production-grade candidate","llm","92.062","",""
"codex","gpt-5.5","direct-draft","P10","Meta-agent factory","80","Not production-grade","llm","50.141","fixed seed agent list as the core design",""
