"runtime","model","mode","prompt_id","domain","score100","verdict","generated_by","wall_time_seconds","red_flags","error"
"upstage","solar-pro2","direct-draft","P01","Investment","90","Production-grade candidate","llm","11.058","",""
"upstage","solar-pro2","direct-draft","P02","AML","90","Production-grade candidate","llm","10.92","",""
"upstage","solar-pro2","direct-draft","P03","Disaster response drones","90","Production-grade candidate","llm","10.381","",""
"upstage","solar-pro2","direct-draft","P04","Film studio","80","Not production-grade","llm","8.204","creative role list without workflow",""
"upstage","solar-pro2","direct-draft","P05","Marketing agency","80","Not production-grade","llm","9.467","generic campaign plan without tool/data workflow",""
"upstage","solar-pro2","direct-draft","P06","Enterprise software","80","Not production-grade","llm","8.403","code generation without governance and test/release gates",""
"upstage","solar-pro2","direct-draft","P07","Hospital operations","90","Production-grade candidate","llm","9.877","",""
"upstage","solar-pro2","direct-draft","P08","Supply chain","90","Production-grade candidate","llm","9.774","",""
"upstage","solar-pro2","direct-draft","P09","SOC","90","Production-grade candidate","llm","9.999","",""
"upstage","solar-pro2","direct-draft","P10","Meta-agent factory","80","Not production-grade","llm","4.864","fixed seed agent list as the core design",""
