"runtime","model","mode","prompt_id","domain","score100","verdict","generated_by","wall_time_seconds","red_flags","error"
"antigravity","default","direct-draft","P01","Investment","0","Failed: deterministic fallback","deterministic","1.226","","Agentlas meta-agent returned deterministic fallback instead of an LLM-generated draft."
"antigravity","default","direct-draft","P02","AML","0","Failed: deterministic fallback","deterministic","1.297","","Agentlas meta-agent returned deterministic fallback instead of an LLM-generated draft."
"antigravity","default","direct-draft","P03","Disaster response drones","0","Failed: deterministic fallback","deterministic","1.33","","Agentlas meta-agent returned deterministic fallback instead of an LLM-generated draft."
"antigravity","default","direct-draft","P04","Film studio","0","Failed: deterministic fallback","deterministic","1.354","creative role list without workflow","Agentlas meta-agent returned deterministic fallback instead of an LLM-generated draft."
"antigravity","default","direct-draft","P05","Marketing agency","0","Failed: deterministic fallback","deterministic","1.4","generic campaign plan without tool/data workflow","Agentlas meta-agent returned deterministic fallback instead of an LLM-generated draft."
"antigravity","default","direct-draft","P06","Enterprise software","0","Failed: deterministic fallback","deterministic","1.577","code generation without governance and test/release gates","Agentlas meta-agent returned deterministic fallback instead of an LLM-generated draft."
"antigravity","default","direct-draft","P07","Hospital operations","0","Failed: deterministic fallback","deterministic","1.551","","Agentlas meta-agent returned deterministic fallback instead of an LLM-generated draft."
"antigravity","default","direct-draft","P08","Supply chain","0","Failed: deterministic fallback","deterministic","1.587","","Agentlas meta-agent returned deterministic fallback instead of an LLM-generated draft."
"antigravity","default","direct-draft","P09","SOC","0","Failed: deterministic fallback","deterministic","1.57","","Agentlas meta-agent returned deterministic fallback instead of an LLM-generated draft."
"antigravity","default","direct-draft","P10","Meta-agent factory","0","Failed: deterministic fallback","deterministic","2.041","fixed seed agent list as the core design","Agentlas meta-agent returned deterministic fallback instead of an LLM-generated draft."
