"runtime","model","mode","prompt_id","domain","score100","verdict","generated_by","wall_time_seconds","red_flags","error"
"claude","claude-sonnet-4-6","direct-draft","P01","Investment","0","Failed: deterministic fallback","deterministic","60.669","","Agentlas meta-agent returned deterministic fallback instead of an LLM-generated draft."
"claude","claude-sonnet-4-6","direct-draft","P02","AML","0","Failed: deterministic fallback","deterministic","60.502","","Agentlas meta-agent returned deterministic fallback instead of an LLM-generated draft."
"claude","claude-sonnet-4-6","direct-draft","P03","Disaster response drones","0","Failed: deterministic fallback","deterministic","60.607","","Agentlas meta-agent returned deterministic fallback instead of an LLM-generated draft."
"claude","claude-sonnet-4-6","direct-draft","P04","Film studio","0","Failed: deterministic fallback","deterministic","60.771","creative role list without workflow","Agentlas meta-agent returned deterministic fallback instead of an LLM-generated draft."
"claude","claude-sonnet-4-6","direct-draft","P05","Marketing agency","0","Failed: deterministic fallback","deterministic","60.617","generic campaign plan without tool/data workflow","Agentlas meta-agent returned deterministic fallback instead of an LLM-generated draft."
"claude","claude-sonnet-4-6","direct-draft","P06","Enterprise software","0","Failed: deterministic fallback","deterministic","60.619","code generation without governance and test/release gates","Agentlas meta-agent returned deterministic fallback instead of an LLM-generated draft."
"claude","claude-sonnet-4-6","direct-draft","P07","Hospital operations","0","Failed: deterministic fallback","deterministic","60.625","","Agentlas meta-agent returned deterministic fallback instead of an LLM-generated draft."
"claude","claude-sonnet-4-6","direct-draft","P08","Supply chain","0","Failed: deterministic fallback","deterministic","60.608","","Agentlas meta-agent returned deterministic fallback instead of an LLM-generated draft."
"claude","claude-sonnet-4-6","direct-draft","P09","SOC","0","Failed: deterministic fallback","deterministic","60.535","","Agentlas meta-agent returned deterministic fallback instead of an LLM-generated draft."
"claude","claude-sonnet-4-6","direct-draft","P10","Meta-agent factory","0","Failed: deterministic fallback","deterministic","60.514","fixed seed agent list as the core design","Agentlas meta-agent returned deterministic fallback instead of an LLM-generated draft."
