runtime,model,display_name,prompt_id,prompt_name,score,verdict,generated_by,failure_reason,wall_time_seconds,observed_input_units,observed_output_units,observed_total_units,estimated_input_tokens,estimated_output_tokens,estimated_total_tokens,estimated_api_cost_usd,cost_type,price_input_usd_per_1m,price_output_usd_per_1m,pricing_source,request_fit,agentlas_team_structure,dynamic_tools_credentials,context_engineering,workflow_hooks_handoffs,runnable_installability,governance_safety,observability_cost,red_flags
agentlas_antigravity,default,Antigravity CLI / default,P01,P01_INVESTMENT_FUND_AGENT,0,Failed: deterministic fallback/no LLM generation,deterministic,Agentlas agent-team returned deterministic fallback instead of an LLM-generated draft.,1.226,0,0,0,0,0,0,,unavailable,,,,14,15,15,12,10,12,8,9,agentlas_generation_failed:deterministic;failure_reason_present
agentlas_antigravity,default,Antigravity CLI / default,P02,P02_AML_FRAUD_INVESTIGATION_AGENT,0,Failed: deterministic fallback/no LLM generation,deterministic,Agentlas agent-team returned deterministic fallback instead of an LLM-generated draft.,1.297,0,0,0,0,0,0,,unavailable,,,,14,15,15,12,10,12,8,9,agentlas_generation_failed:deterministic;failure_reason_present
agentlas_antigravity,default,Antigravity CLI / default,P03,P03_DISASTER_DRONE_SWARM_AGENT,0,Failed: deterministic fallback/no LLM generation,deterministic,Agentlas agent-team returned deterministic fallback instead of an LLM-generated draft.,1.33,0,0,0,0,0,0,,unavailable,,,,15,15,15,12,10,12,10,9,agentlas_generation_failed:deterministic;failure_reason_present
agentlas_antigravity,default,Antigravity CLI / default,P04,P04_FILM_STUDIO_AGENT,0,Failed: deterministic fallback/no LLM generation,deterministic,Agentlas agent-team returned deterministic fallback instead of an LLM-generated draft.,1.354,0,0,0,0,0,0,,unavailable,,,,15,15,15,12,10,12,8,9,agentlas_generation_failed:deterministic;failure_reason_present
agentlas_antigravity,default,Antigravity CLI / default,P05,P05_MARKETING_AGENCY_AGENT,0,Failed: deterministic fallback/no LLM generation,deterministic,Agentlas agent-team returned deterministic fallback instead of an LLM-generated draft.,1.4,0,0,0,0,0,0,,unavailable,,,,15,15,15,12,10,12,8,9,agentlas_generation_failed:deterministic;failure_reason_present
agentlas_antigravity,default,Antigravity CLI / default,P06,P06_ENTERPRISE_SOFTWARE_HQ_AGENT,0,Failed: deterministic fallback/no LLM generation,deterministic,Agentlas agent-team returned deterministic fallback instead of an LLM-generated draft.,1.577,0,0,0,0,0,0,,unavailable,,,,15,15,15,12,10,12,8,9,agentlas_generation_failed:deterministic;failure_reason_present
agentlas_antigravity,default,Antigravity CLI / default,P07,P07_HOSPITAL_OPERATIONS_AGENT,0,Failed: deterministic fallback/no LLM generation,deterministic,Agentlas agent-team returned deterministic fallback instead of an LLM-generated draft.,1.551,0,0,0,0,0,0,,unavailable,,,,15,15,15,12,10,12,8,9,agentlas_generation_failed:deterministic;failure_reason_present
agentlas_antigravity,default,Antigravity CLI / default,P08,P08_SUPPLY_CHAIN_CONTROL_TOWER_AGENT,0,Failed: deterministic fallback/no LLM generation,deterministic,Agentlas agent-team returned deterministic fallback instead of an LLM-generated draft.,1.587,0,0,0,0,0,0,,unavailable,,,,15,15,15,12,10,12,8,9,agentlas_generation_failed:deterministic;failure_reason_present
agentlas_antigravity,default,Antigravity CLI / default,P09,P09_SOC_THREAT_RESPONSE_AGENT,0,Failed: deterministic fallback/no LLM generation,deterministic,Agentlas agent-team returned deterministic fallback instead of an LLM-generated draft.,1.57,0,0,0,0,0,0,,unavailable,,,,14,15,15,12,10,12,8,9,agentlas_generation_failed:deterministic;failure_reason_present
agentlas_claude,claude-sonnet-4-6,Claude Code / Sonnet 4.6,P01,P01_INVESTMENT_FUND_AGENT,96,Production-grade agent-team OS candidate,llm,,289.193,1978,31231,33209,494,7808,8302,0.118602,proxy_estimate_chars_div_4,3.0,15.0,https://www.anthropic.com/claude/sonnet,15,15,15,12,10,12,8,9,
