"runtime","model","mode","prompt_id","domain","score100","verdict","generated_by","wall_time_seconds","red_flags","error"
"gemini","gemini-3-flash-preview","direct-draft","P01","Investment","90","Production-grade candidate","llm","81.399","",""
"gemini","gemini-3-flash-preview","direct-draft","P02","AML","90","Production-grade candidate","llm","53.518","",""
"gemini","gemini-3-flash-preview","direct-draft","P03","Disaster response drones","90","Production-grade candidate","llm","53.733","",""
"gemini","gemini-3-flash-preview","direct-draft","P04","Film studio","80","Not production-grade","llm","75.555","creative role list without workflow",""
"gemini","gemini-3-flash-preview","direct-draft","P05","Marketing agency","80","Not production-grade","llm","71.138","generic campaign plan without tool/data workflow",""
"gemini","gemini-3-flash-preview","direct-draft","P06","Enterprise software","80","Not production-grade","llm","81.659","code generation without governance and test/release gates",""
"gemini","gemini-3-flash-preview","direct-draft","P07","Hospital operations","90","Production-grade candidate","llm","44.486","",""
"gemini","gemini-3-flash-preview","direct-draft","P08","Supply chain","90","Production-grade candidate","llm","34.622","",""
"gemini","gemini-3-flash-preview","direct-draft","P09","SOC","90","Production-grade candidate","llm","95.893","",""
"gemini","gemini-3-flash-preview","direct-draft","P10","Meta-agent factory","80","Not production-grade","llm","47.589","fixed seed agent list as the core design",""
