runtime,model,prompt_id,score,verdict,red_flags,strongest_dimension,weakest_dimension,evidence_summary,notes
upstage_api,solar-pro2,P01,59,Not production-grade,offensive_exploitation,dynamic_tool_discovery,mission_topology,dynamic_tool_discovery=tool registry;discover;score;routing;permission;fallback;provenance | hook_lifecycle=hook;trigger | context_engineering=memory;retrieval;compression;provenance;stale | workflow_state_machine=state machine;handoff;evidence | domain_depth=compliance;risk;policy | governance_safety=human approval;approval gate;permission;policy | evals_tests=eval;smoke test;red-team;first-day | observability_cost=metric;dashboard;cost;budget;alert | installability=folder structure;schema;config;install,Draft automated score; human review required before publication.
upstage_api,solar-pro2,P02,64,"Mostly conceptual, needs architecture work",,dynamic_tool_discovery,hook_lifecycle,mission_topology=escalation | dynamic_tool_discovery=tool registry;discover;score;routing;permission;fallback;provenance | hook_lifecycle=hook;trigger | context_engineering=memory;compression;provenance;stale;handoff packet | workflow_state_machine=state machine;transition;handoff;evidence | domain_depth=compliance;risk;audit;policy | governance_safety=human approval;approval gate;permission;policy;audit trail;prompt injection | evals_tests=eval;smoke test;red-team;threshold;first-day | observability_cost=metric;dashboard;cost;budget;alert | installability=folder structure;schema;config;template;install,Draft automated score; human review required before publication.
upstage_api,solar-pro2,P03,59,Not production-grade,offensive_exploitation,dynamic_tool_discovery,hook_lifecycle,mission_topology=controller | dynamic_tool_discovery=tool registry;discover;score;routing;permission;fallback;provenance | hook_lifecycle=hook;trigger | context_engineering=memory;retrieval;compression;provenance;stale | workflow_state_machine=state machine;transition;handoff | domain_depth=risk;audit;policy | governance_safety=human approval;permission;policy | evals_tests=eval;smoke test;red-team;threshold;first-day | observability_cost=metric;cost;budget;alert | installability=folder structure;schema;install,Draft automated score; human review required before publication.
upstage_api,solar-pro2,P04,65,"Mostly conceptual, needs architecture work",,dynamic_tool_discovery,installability,mission_topology=escalation | dynamic_tool_discovery=tool registry;discover;capability;score;routing;permission;fallback;provenance | hook_lifecycle=hook;trigger;rollback | context_engineering=memory;retrieval;compression;provenance;stale;handoff packet | workflow_state_machine=state machine;retry;handoff | domain_depth=compliance;constraint;freshness;policy | governance_safety=approval gate;permission;policy | evals_tests=eval;smoke test;red-team;first-day | observability_cost=metric;dashboard;cost;budget;alert | installability=folder structure;schema;package,Draft automated score; human review required before publication.
upstage_api,solar-pro2,P05,54,Not useful for serious meta-agent generation,,dynamic_tool_discovery,mission_topology,dynamic_tool_discovery=tool registry;discover;score;routing;permission;fallback;provenance | context_engineering=memory;retrieval;compression;provenance;stale | workflow_state_machine=state machine;handoff | domain_depth=compliance;KPI;risk;policy | governance_safety=human approval;approval gate;permission;policy | evals_tests=eval;smoke test;red-team;threshold;first-day | observability_cost=metric;dashboard;cost;budget;quota | installability=folder structure;manifest;schema;config;install,Draft automated score; human review required before publication.
upstage_api,solar-pro2,P06,60,"Mostly conceptual, needs architecture work",,dynamic_tool_discovery,mission_topology,dynamic_tool_discovery=tool registry;discover;score;routing;permission;fallback;provenance | hook_lifecycle=hook;trigger | context_engineering=memory;retrieval;compression;summarization;provenance;stale | workflow_state_machine=state machine;transition;retry | domain_depth=compliance;freshness;audit;policy | governance_safety=human approval;approval gate;permission;policy | evals_tests=eval;smoke test;red-team;threshold;first-day | observability_cost=metric;trace;cost;budget;rate limit | installability=folder structure;schema;install,Draft automated score; human review required before publication.
upstage_api,solar-pro2,P07,67,"Mostly conceptual, needs architecture work",,context_engineering,hook_lifecycle,mission_topology=escalation | dynamic_tool_discovery=tool registry;discover;score;routing;permission;fallback;provenance | hook_lifecycle=hook;trigger | context_engineering=memory;retrieval;compression;summarization;provenance;stale;handoff packet;redaction | workflow_state_machine=handoff | domain_depth=compliance;constraint;audit;policy | governance_safety=human approval;approval gate;permission;policy;audit trail | evals_tests=eval;smoke test;red-team;first-day | observability_cost=metric;dashboard;cost;budget;alert;token | installability=folder structure;schema;template;install,Draft automated score; human review required before publication.
upstage_api,solar-pro2,P08,58,Not production-grade,offensive_exploitation,dynamic_tool_discovery,mission_topology,dynamic_tool_discovery=tool registry;discover;score;routing;permission;fallback;provenance | hook_lifecycle=hook;trigger | context_engineering=memory;retrieval;compression;provenance;stale;handoff packet | workflow_state_machine=state machine;handoff | domain_depth=KPI;risk;audit;policy | governance_safety=human approval;permission;policy | evals_tests=eval;red-team;threshold;first-day | observability_cost=metric;dashboard;cost;budget;quota;alert | installability=folder structure;schema;config;install;package,Draft automated score; human review required before publication.
upstage_api,solar-pro2,P09,68,"Mostly conceptual, needs architecture work",,dynamic_tool_discovery,hook_lifecycle,mission_topology=escalation | dynamic_tool_discovery=discover;capability;score;routing;permission;fallback;provenance | hook_lifecycle=hook | context_engineering=memory;retrieval;compression;summarization;provenance;stale | workflow_state_machine=state machine;transition;retry;handoff;evidence | domain_depth=compliance;freshness;audit;policy | governance_safety=human approval;approval gate;permission;policy;prompt injection | evals_tests=eval;smoke test;red-team;first-day | observability_cost=metric;cost;budget;rate limit;alert | installability=folder structure;schema;config;template;install,Draft automated score; human review required before publication.
upstage_api,solar-pro2,P10,68,"Mostly conceptual, needs architecture work",,context_engineering,hook_lifecycle,mission_topology=escalation | dynamic_tool_discovery=tool registry;discover;capability;score;routing;permission;fallback;provenance | hook_lifecycle=hook | context_engineering=memory;retrieval;compression;summarization;provenance;stale;handoff packet;redaction | workflow_state_machine=state machine;retry;handoff | domain_depth=compliance;risk;policy | governance_safety=human approval;permission;policy | evals_tests=eval;smoke test;red-team;threshold;regression;first-day | observability_cost=metric;dashboard;cost;token | installability=folder structure;schema;template;install;package,Draft automated score; human review required before publication.
